,,,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income,Prevalence of Diagnosed Health Conditions by State and Household Income
Alaska,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"9,520"
Alaska,Pre-diabetes or borderline diabetes,18+,2015,Percent,6%
Alaska,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"6,645"
Alaska,Pre-diabetes or borderline diabetes,18+,2016,Percent,9%
Alaska,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"9,383"
Alaska,Heart disease (angina or CHD),18+,2013,Percent,3%
Alaska,Heart disease (angina or CHD),18+,2013,Num of persons,"3,848"
Alaska,Heart disease (angina or CHD),18+,2014,Percent,4%
Alaska,Heart disease (angina or CHD),18+,2014,Num of persons,"3,679"
Alaska,Heart disease (angina or CHD),18+,2015,Percent,6%
Alaska,Heart disease (angina or CHD),18+,2015,Num of persons,"5,991"
Alaska,Heart disease (angina or CHD),18+,2016,Percent,5%
Alaska,Heart disease (angina or CHD),18+,2016,Num of persons,"4,589"
Alaska,High cholesterol (among those tested),18+,2013,Percent,42%
Alaska,High cholesterol (among those tested),18+,2013,Num of persons,"29,045"
Alaska,High cholesterol (among those tested),18+,2014,Percent,NA
Alaska,High cholesterol (among those tested),18+,2014,Num of persons,NA
Alaska,High cholesterol (among those tested),18+,2015,Percent,41%
Alaska,High cholesterol (among those tested),18+,2015,Num of persons,"24,591"
Alaska,High cholesterol (among those tested),18+,2016,Percent,NA
Alaska,High cholesterol (among those tested),18+,2016,Num of persons,NA
Alaska,Hypertension,18+,2013,Percent,33%
Alaska,Hypertension,18+,2013,Num of persons,"37,499"
Alaska,Hypertension,18+,2014,Percent,NA
Alaska,Hypertension,18+,2014,Num of persons,NA
Alaska,Hypertension,18+,2015,Percent,31%
Alaska,Hypertension,18+,2015,Num of persons,"31,724"
Alaska,Hypertension,18+,2016,Percent,NA
Alaska,Hypertension,18+,2016,Num of persons,NA
Alabama,Arthritis,18+,2013,Percent,39%
Alabama,Arthritis,18+,2013,Num of persons,"438,788"
Alabama,Arthritis,18+,2014,Percent,43%
Alabama,Arthritis,18+,2014,Num of persons,"448,107"
Alabama,Arthritis,18+,2015,Percent,43%
Alabama,Arthritis,18+,2015,Num of persons,"438,434"
Alabama,Arthritis,18+,2016,Percent,42%
Alabama,Arthritis,18+,2016,Num of persons,"429,788"
Alabama,Asthma (current),18+,2013,Percent,13%
Alabama,Asthma (current),18+,2013,Num of persons,"144,244"
Alabama,Asthma (current),18+,2014,Percent,14%
Alabama,Asthma (current),18+,2014,Num of persons,"147,169"
Alabama,Asthma (current),18+,2015,Percent,16%
Alabama,Asthma (current),18+,2015,Num of persons,"162,024"
Alabama,Asthma (current),18+,2016,Percent,16%
Alabama,Asthma (current),18+,2016,Num of persons,"166,483"
Alabama,Cancer,18+,2013,Percent,14%
Alabama,Cancer,18+,2013,Num of persons,"149,753"
Alabama,Cancer,18+,2014,Percent,14%
Alabama,Cancer,18+,2014,Num of persons,"148,101"
Alabama,Cancer,18+,2015,Percent,14%
Alabama,Cancer,18+,2015,Num of persons,"148,161"
Alabama,Cancer,18+,2016,Percent,14%
Alabama,Cancer,18+,2016,Num of persons,"140,495"
Alabama,Chronic kidney disease,18+,2013,Percent,4%
Alabama,Chronic kidney disease,18+,2013,Num of persons,"43,065"
Alabama,Chronic kidney disease,18+,2014,Percent,4%
Alabama,Chronic kidney disease,18+,2014,Num of persons,"37,870"
Alabama,Chronic kidney disease,18+,2015,Percent,3%
Alabama,Chronic kidney disease,18+,2015,Num of persons,"32,778"
Alabama,Chronic kidney disease,18+,2016,Percent,5%
Alabama,Chronic kidney disease,18+,2016,Num of persons,"55,666"
Alabama,COPD,18+,2013,Percent,16%
Alabama,COPD,18+,2013,Num of persons,"182,361"
Alabama,COPD,18+,2014,Percent,17%
Alabama,COPD,18+,2014,Num of persons,"176,775"
Alabama,COPD,18+,2015,Percent,17%
Alabama,COPD,18+,2015,Num of persons,"172,033"
Alabama,COPD,18+,2016,Percent,16%
Alabama,COPD,18+,2016,Num of persons,"166,814"
Alabama,Depression,18+,2013,Percent,31%
Alabama,Depression,18+,2013,Num of persons,"343,255"
Alabama,Depression,18+,2014,Percent,31%
Alabama,Depression,18+,2014,Num of persons,"326,231"
Alabama,Depression,18+,2015,Percent,31%
Alabama,Depression,18+,2015,Num of persons,"316,100"
Alabama,Depression,18+,2016,Percent,32%
Alabama,Depression,18+,2016,Num of persons,"326,044"
Alabama,Diabetes,18+,2013,Percent,18%
Alabama,Diabetes,18+,2013,Num of persons,"204,239"
Alabama,Diabetes,18+,2014,Percent,17%
Alabama,Diabetes,18+,2014,Num of persons,"181,195"
Alabama,Diabetes,18+,2015,Percent,19%
Alabama,Diabetes,18+,2015,Num of persons,"196,350"
Alabama,Diabetes,18+,2016,Percent,19%
Alabama,Diabetes,18+,2016,Num of persons,"201,187"
Alabama,Pre-diabetes or borderline diabetes,18+,2013,Percent,8%
Alabama,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"91,424"
Alabama,Pre-diabetes or borderline diabetes,18+,2014,Percent,10%
Alabama,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"99,929"
Alabama,Pre-diabetes or borderline diabetes,18+,2015,Percent,7%
Alabama,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"76,825"
Alabama,Pre-diabetes or borderline diabetes,18+,2016,Percent,8%
Alabama,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"78,979"
Alabama,Heart disease (angina or CHD),18+,2013,Percent,6%
Alabama,Heart disease (angina or CHD),18+,2013,Num of persons,"64,552"
Alabama,Heart disease (angina or CHD),18+,2014,Percent,7%
Alabama,Heart disease (angina or CHD),18+,2014,Num of persons,"74,109"
Alabama,Heart disease (angina or CHD),18+,2015,Percent,7%
Alabama,Heart disease (angina or CHD),18+,2015,Num of persons,"67,043"
Alabama,Heart disease (angina or CHD),18+,2016,Percent,8%
Alabama,Heart disease (angina or CHD),18+,2016,Num of persons,"78,720"
Alabama,High cholesterol (among those tested),18+,2013,Percent,48%
Alabama,High cholesterol (among those tested),18+,2013,Num of persons,"378,528"
Alabama,High cholesterol (among those tested),18+,2014,Percent,NA
Alabama,High cholesterol (among those tested),18+,2014,Num of persons,NA
Alabama,High cholesterol (among those tested),18+,2015,Percent,48%
Alabama,High cholesterol (among those tested),18+,2015,Num of persons,"358,299"
Alabama,High cholesterol (among those tested),18+,2016,Percent,NA
Alabama,High cholesterol (among those tested),18+,2016,Num of persons,NA
Alabama,Hypertension,18+,2013,Percent,48%
Alabama,Hypertension,18+,2013,Num of persons,"530,193"
Alabama,Hypertension,18+,2014,Percent,NA
Alabama,Hypertension,18+,2014,Num of persons,NA
Alabama,Hypertension,18+,2015,Percent,48%
Alabama,Hypertension,18+,2015,Num of persons,"492,776"
Alabama,Hypertension,18+,2016,Percent,NA
Alabama,Hypertension,18+,2016,Num of persons,NA
Arkansas,Arthritis,18+,2013,Percent,35%
Arkansas,Arthritis,18+,2013,Num of persons,"278,634"
Arkansas,Arthritis,18+,2014,Percent,37%
Arkansas,Arthritis,18+,2014,Num of persons,"270,752"
Arkansas,Arthritis,18+,2015,Percent,36%
Arkansas,Arthritis,18+,2015,Num of persons,"245,896"
Arkansas,Arthritis,18+,2016,Percent,40%
Arkansas,Arthritis,18+,2016,Num of persons,"290,454"
Arkansas,Asthma (current),18+,2013,Percent,11%
Arkansas,Asthma (current),18+,2013,Num of persons,"88,869"
Arkansas,Asthma (current),18+,2014,Percent,13%
Arkansas,Asthma (current),18+,2014,Num of persons,"98,616"
Arkansas,Asthma (current),18+,2015,Percent,11%
Arkansas,Asthma (current),18+,2015,Num of persons,"77,873"
Arkansas,Asthma (current),18+,2016,Percent,12%
Arkansas,Asthma (current),18+,2016,Num of persons,"86,258"
Arkansas,Cancer,18+,2013,Percent,13%
Arkansas,Cancer,18+,2013,Num of persons,"106,093"
Arkansas,Cancer,18+,2014,Percent,10%
Arkansas,Cancer,18+,2014,Num of persons,"77,180"
Arkansas,Cancer,18+,2015,Percent,12%
Arkansas,Cancer,18+,2015,Num of persons,"84,189"
Arkansas,Cancer,18+,2016,Percent,12%
Arkansas,Cancer,18+,2016,Num of persons,"84,212"
Arkansas,Chronic kidney disease,18+,2013,Percent,5%
Arkansas,Chronic kidney disease,18+,2013,Num of persons,"36,678"
Arkansas,Chronic kidney disease,18+,2014,Percent,4%
Arkansas,Chronic kidney disease,18+,2014,Num of persons,"28,021"
Arkansas,Chronic kidney disease,18+,2015,Percent,3%
Arkansas,Chronic kidney disease,18+,2015,Num of persons,"22,771"
Arkansas,Chronic kidney disease,18+,2016,Percent,4%
Arkansas,Chronic kidney disease,18+,2016,Num of persons,"30,966"
Arkansas,COPD,18+,2013,Percent,13%
Arkansas,COPD,18+,2013,Num of persons,"103,257"
Arkansas,COPD,18+,2014,Percent,14%
Arkansas,COPD,18+,2014,Num of persons,"106,345"
Arkansas,COPD,18+,2015,Percent,15%
Arkansas,COPD,18+,2015,Num of persons,"104,968"
Arkansas,COPD,18+,2016,Percent,15%
Arkansas,COPD,18+,2016,Num of persons,"107,969"
Arkansas,Depression,18+,2013,Percent,31%
Arkansas,Depression,18+,2013,Num of persons,"244,413"
Arkansas,Depression,18+,2014,Percent,31%
Arkansas,Depression,18+,2014,Num of persons,"229,401"
Arkansas,Depression,18+,2015,Percent,33%
Arkansas,Depression,18+,2015,Num of persons,"227,811"
Arkansas,Depression,18+,2016,Percent,34%
Arkansas,Depression,18+,2016,Num of persons,"246,733"
Arkansas,Diabetes,18+,2013,Percent,13%
Arkansas,Diabetes,18+,2013,Num of persons,"106,468"
Arkansas,Diabetes,18+,2014,Percent,15%
Arkansas,Diabetes,18+,2014,Num of persons,"113,828"
Arkansas,Diabetes,18+,2015,Percent,13%
Arkansas,Diabetes,18+,2015,Num of persons,"92,807"
Arkansas,Diabetes,18+,2016,Percent,16%
Arkansas,Diabetes,18+,2016,Num of persons,"114,066"
Arkansas,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Arkansas,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"53,253"
Arkansas,Pre-diabetes or borderline diabetes,18+,2014,Percent,1%
Arkansas,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"5,923"
Arkansas,Pre-diabetes or borderline diabetes,18+,2015,Percent,2%
Arkansas,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"13,282"
Arkansas,Pre-diabetes or borderline diabetes,18+,2016,Percent,1%
Arkansas,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"7,430"
Arkansas,Heart disease (angina or CHD),18+,2013,Percent,6%
Arkansas,Heart disease (angina or CHD),18+,2013,Num of persons,"46,624"
Arkansas,Heart disease (angina or CHD),18+,2014,Percent,7%
Arkansas,Heart disease (angina or CHD),18+,2014,Num of persons,"54,500"
Arkansas,Heart disease (angina or CHD),18+,2015,Percent,8%
Arkansas,Heart disease (angina or CHD),18+,2015,Num of persons,"50,998"
Arkansas,Heart disease (angina or CHD),18+,2016,Percent,9%
Arkansas,Heart disease (angina or CHD),18+,2016,Num of persons,"61,417"
Arkansas,High cholesterol (among those tested),18+,2013,Percent,44%
Arkansas,High cholesterol (among those tested),18+,2013,Num of persons,"229,143"
Arkansas,High cholesterol (among those tested),18+,2014,Percent,NA
Arkansas,High cholesterol (among those tested),18+,2014,Num of persons,NA
Arkansas,High cholesterol (among those tested),18+,2015,Percent,46%
Arkansas,High cholesterol (among those tested),18+,2015,Num of persons,"227,271"
Arkansas,High cholesterol (among those tested),18+,2016,Percent,NA
Arkansas,High cholesterol (among those tested),18+,2016,Num of persons,NA
Arkansas,Hypertension,18+,2013,Percent,41%
Arkansas,Hypertension,18+,2013,Num of persons,"329,095"
Arkansas,Hypertension,18+,2014,Percent,NA
Arkansas,Hypertension,18+,2014,Num of persons,NA
Arkansas,Hypertension,18+,2015,Percent,41%
Arkansas,Hypertension,18+,2015,Num of persons,"283,881"
Arkansas,Hypertension,18+,2016,Percent,NA
Arkansas,Hypertension,18+,2016,Num of persons,NA
Arizona,Arthritis,18+,2013,Percent,30%
Arizona,Arthritis,18+,2013,Num of persons,"405,841"
Arizona,Arthritis,18+,2014,Percent,27%
Arizona,Arthritis,18+,2014,Num of persons,"380,395"
Arizona,Arthritis,18+,2015,Percent,27%
Arizona,Arthritis,18+,2015,Num of persons,"370,878"
Arizona,Arthritis,18+,2016,Percent,29%
Arizona,Arthritis,18+,2016,Num of persons,"386,697"
Arizona,Asthma (current),18+,2013,Percent,10%
Arizona,Asthma (current),18+,2013,Num of persons,"141,230"
Arizona,Asthma (current),18+,2014,Percent,12%
Arizona,Asthma (current),18+,2014,Num of persons,"167,304"
Arizona,Asthma (current),18+,2015,Percent,10%
Arizona,Asthma (current),18+,2015,Num of persons,"136,797"
Arizona,Asthma (current),18+,2016,Percent,9%
Arizona,Asthma (current),18+,2016,Num of persons,"122,929"
Arizona,Cancer,18+,2013,Percent,11%
Arizona,Cancer,18+,2013,Num of persons,"154,068"
Arizona,Cancer,18+,2014,Percent,12%
Arizona,Cancer,18+,2014,Num of persons,"163,272"
Arizona,Cancer,18+,2015,Percent,9%
Arizona,Cancer,18+,2015,Num of persons,"126,406"
Arizona,Cancer,18+,2016,Percent,10%
Arizona,Cancer,18+,2016,Num of persons,"132,284"
Arizona,Chronic kidney disease,18+,2013,Percent,5%
Arizona,Chronic kidney disease,18+,2013,Num of persons,"72,525"
Arizona,Chronic kidney disease,18+,2014,Percent,5%
Arizona,Chronic kidney disease,18+,2014,Num of persons,"64,082"
Arizona,Chronic kidney disease,18+,2015,Percent,5%
Arizona,Chronic kidney disease,18+,2015,Num of persons,"65,852"
Arizona,Chronic kidney disease,18+,2016,Percent,5%
Arizona,Chronic kidney disease,18+,2016,Num of persons,"71,913"
Arizona,COPD,18+,2013,Percent,12%
Arizona,COPD,18+,2013,Num of persons,"158,642"
Arizona,COPD,18+,2014,Percent,10%
Arizona,COPD,18+,2014,Num of persons,"138,954"
Arizona,COPD,18+,2015,Percent,9%
Arizona,COPD,18+,2015,Num of persons,"119,038"
Arizona,COPD,18+,2016,Percent,10%
Arizona,COPD,18+,2016,Num of persons,"132,522"
Arizona,Depression,18+,2013,Percent,27%
Arizona,Depression,18+,2013,Num of persons,"363,789"
Arizona,Depression,18+,2014,Percent,27%
Arizona,Depression,18+,2014,Num of persons,"371,289"
Arizona,Depression,18+,2015,Percent,23%
Arizona,Depression,18+,2015,Num of persons,"315,527"
Arizona,Depression,18+,2016,Percent,21%
Arizona,Depression,18+,2016,Num of persons,"278,951"
Arizona,Diabetes,18+,2013,Percent,15%
Arizona,Diabetes,18+,2013,Num of persons,"202,127"
Arizona,Diabetes,18+,2014,Percent,13%
Arizona,Diabetes,18+,2014,Num of persons,"182,624"
Arizona,Diabetes,18+,2015,Percent,14%
Arizona,Diabetes,18+,2015,Num of persons,"195,739"
Arizona,Diabetes,18+,2016,Percent,15%
Arizona,Diabetes,18+,2016,Num of persons,"195,407"
Arizona,Pre-diabetes or borderline diabetes,18+,2013,Percent,7%
Arizona,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"90,758"
Arizona,Pre-diabetes or borderline diabetes,18+,2014,Percent,8%
Arizona,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"109,122"
Arizona,Pre-diabetes or borderline diabetes,18+,2015,Percent,3%
Arizona,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"37,178"
Arizona,Pre-diabetes or borderline diabetes,18+,2016,Percent,3%
Arizona,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"37,173"
Arizona,Heart disease (angina or CHD),18+,2013,Percent,4%
Arizona,Heart disease (angina or CHD),18+,2013,Num of persons,"50,963"
Arizona,Heart disease (angina or CHD),18+,2014,Percent,4%
Arizona,Heart disease (angina or CHD),18+,2014,Num of persons,"59,191"
Arizona,Heart disease (angina or CHD),18+,2015,Percent,4%
Arizona,Heart disease (angina or CHD),18+,2015,Num of persons,"56,133"
Arizona,Heart disease (angina or CHD),18+,2016,Percent,5%
Arizona,Heart disease (angina or CHD),18+,2016,Num of persons,"63,272"
Arizona,High cholesterol (among those tested),18+,2013,Percent,42%
Arizona,High cholesterol (among those tested),18+,2013,Num of persons,"384,322"
Arizona,High cholesterol (among those tested),18+,2014,Percent,NA
Arizona,High cholesterol (among those tested),18+,2014,Num of persons,NA
Arizona,High cholesterol (among those tested),18+,2015,Percent,42%
Arizona,High cholesterol (among those tested),18+,2015,Num of persons,"386,584"
Arizona,High cholesterol (among those tested),18+,2016,Percent,NA
Arizona,High cholesterol (among those tested),18+,2016,Num of persons,NA
Arizona,Hypertension,18+,2013,Percent,35%
Arizona,Hypertension,18+,2013,Num of persons,"481,559"
Arizona,Hypertension,18+,2014,Percent,NA
Arizona,Hypertension,18+,2014,Num of persons,NA
Arizona,Hypertension,18+,2015,Percent,33%
Arizona,Hypertension,18+,2015,Num of persons,"445,190"
Arizona,Hypertension,18+,2016,Percent,NA
Arizona,Hypertension,18+,2016,Num of persons,NA
California,Arthritis,18+,2013,Percent,22%
California,Arthritis,18+,2013,Num of persons,"1,977,968"
California,Arthritis,18+,2014,Percent,23%
California,Arthritis,18+,2014,Num of persons,"1,997,581"
California,Arthritis,18+,2015,Percent,20%
California,Arthritis,18+,2015,Num of persons,"1,494,875"
California,Arthritis,18+,2016,Percent,21%
California,Arthritis,18+,2016,Num of persons,"1,504,832"
California,Asthma (current),18+,2013,Percent,10%
California,Asthma (current),18+,2013,Num of persons,"847,017"
California,Asthma (current),18+,2014,Percent,10%
California,Asthma (current),18+,2014,Num of persons,"819,037"
California,Asthma (current),18+,2015,Percent,9%
California,Asthma (current),18+,2015,Num of persons,"662,011"
California,Asthma (current),18+,2016,Percent,9%
California,Asthma (current),18+,2016,Num of persons,"628,435"
California,Cancer,18+,2013,Percent,7%
California,Cancer,18+,2013,Num of persons,"658,706"
California,Cancer,18+,2014,Percent,8%
California,Cancer,18+,2014,Num of persons,"643,019"
California,Cancer,18+,2015,Percent,6%
California,Cancer,18+,2015,Num of persons,"479,032"
California,Cancer,18+,2016,Percent,6%
California,Cancer,18+,2016,Num of persons,"454,245"
California,Chronic kidney disease,18+,2013,Percent,4%
California,Chronic kidney disease,18+,2013,Num of persons,"366,556"
California,Chronic kidney disease,18+,2014,Percent,3%
California,Chronic kidney disease,18+,2014,Num of persons,"219,793"
California,Chronic kidney disease,18+,2015,Percent,3%
California,Chronic kidney disease,18+,2015,Num of persons,"247,442"
California,Chronic kidney disease,18+,2016,Percent,4%
California,Chronic kidney disease,18+,2016,Num of persons,"294,592"
California,COPD,18+,2013,Percent,7%
California,COPD,18+,2013,Num of persons,"639,314"
California,COPD,18+,2014,Percent,7%
California,COPD,18+,2014,Num of persons,"582,050"
California,COPD,18+,2015,Percent,6%
California,COPD,18+,2015,Num of persons,"483,872"
California,COPD,18+,2016,Percent,7%
California,COPD,18+,2016,Num of persons,"476,512"
California,Depression,18+,2013,Percent,19%
California,Depression,18+,2013,Num of persons,"1,650,411"
California,Depression,18+,2014,Percent,18%
California,Depression,18+,2014,Num of persons,"1,533,438"
California,Depression,18+,2015,Percent,17%
California,Depression,18+,2015,Num of persons,"1,287,187"
California,Depression,18+,2016,Percent,18%
California,Depression,18+,2016,Num of persons,"1,307,339"
California,Diabetes,18+,2013,Percent,15%
California,Diabetes,18+,2013,Num of persons,"1,296,164"
California,Diabetes,18+,2014,Percent,15%
California,Diabetes,18+,2014,Num of persons,"1,245,933"
California,Diabetes,18+,2015,Percent,14%
California,Diabetes,18+,2015,Num of persons,"1,021,984"
California,Diabetes,18+,2016,Percent,15%
California,Diabetes,18+,2016,Num of persons,"1,065,646"
California,Pre-diabetes or borderline diabetes,18+,2013,Percent,3%
California,Pre-diabetes or borderline diabetes,18+,2013,Num of persons,"251,052"
California,Pre-diabetes or borderline diabetes,18+,2014,Percent,3%
California,Pre-diabetes or borderline diabetes,18+,2014,Num of persons,"252,293"
California,Pre-diabetes or borderline diabetes,18+,2015,Percent,3%
California,Pre-diabetes or borderline diabetes,18+,2015,Num of persons,"213,337"
California,Pre-diabetes or borderline diabetes,18+,2016,Percent,5%
California,Pre-diabetes or borderline diabetes,18+,2016,Num of persons,"330,153"
California,Heart disease (angina or CHD),18+,2013,Percent,3%
California,Heart disease (angina or CHD),18+,2013,Num of persons,"307,830"
California,Heart disease (angina or CHD),18+,2014,Percent,5%
California,Heart disease (angina or CHD),18+,2014,Num of persons,"406,295"
California,Heart disease (angina or CHD),18+,2015,Percent,3%
California,Heart disease (angina or CHD),18+,2015,Num of persons,"256,248"
California,Heart disease (angina or CHD),18+,2016,Percent,4%
California,Heart disease (angina or CHD),18+,2016,Num of persons,"298,114"
California,High cholesterol (among those tested),18+,2013,Percent,42%
California,High cholesterol (among those tested),18+,2013,Num of persons,"2,496,681"
California,High cholesterol (among those tested),18+,2014,Percent,NA
California,High cholesterol (among those tested),18+,2014,Num of persons,NA
California,High cholesterol (among those tested),18+,2015,Percent,36%
California,High cholesterol (among those tested),18+,2015,Num of persons,"1,874,841"
California,High cholesterol (among those tested),18+,2016,Percent,NA
California,High cholesterol (among those tested),18+,2016,Num of persons,NA
California,Hypertension,18+,2013,Percent,32%
California,Hypertension,18+,2013,Num of persons,"2,877,897"
California,Hypertension,18+,2014,Percent,NA
California,Hypertension,18+,2014,Num of persons,NA
California,Hypertension,18+,2015,Percent,30%
California,Hypertension,18+,2015,Num of persons,"2,253,238"
California,Hypertension,18+,2016,Percent,NA
California,Hypertension,18+,2016,Num of persons,NA
Colorado,Arthritis,18+,2013,Percent,25%
Colorado,Arthritis,18+,2013,Num of persons,"218,621"
Colorado,Arthritis,18+,2014,Percent,26%
Colorado,Arthritis,18+,2014,Num of persons,"218,197"
Colorado,Arthritis,18+,2015,Percent,29%
Colorado,Arthritis,18+,2015,Num of persons,"211,185"
Colorado,Arthritis,18+,2016,Percent,29%
Colorado,Arthritis,18+,2016,Num of persons,"220,114"
Colorado,Asthma (current),18+,2013,Percent,10%
Colorado,Asthma (current),18+,2013,Num of persons,"87,952"
Colorado,Asthma (current),18+,2014,Percent,12%
Colorado,Asthma (current),18+,2014,Num of persons,"101,784"
Colorado,Asthma (current),18+,2015,Percent,11%
Colorado,Asthma (current),18+,2015,Num of persons,"79,136"
Colorado,Asthma (current),18+,2016,Percent,11%
Colorado,Asthma (current),18+,2016,Num of persons,"82,181"
Colorado,Cancer,18+,2013,Percent,10%
Colorado,Cancer,18+,2013,Num of persons,"87,146"
Colorado,Cancer,18+,2014,Percent,10%
Colorado,Cancer,18+,2014,Num of persons,"86,182"
Colorado,Cancer,18+,2015,Percent,11%
Colorado,Cancer,18+,2015,Num of persons,"79,467"
Colorado,Cancer,18+,2016,Percent,11%
Colorado,Cancer,18+,2016,Num of persons,"88,567"
Colorado,Chronic kidney disease,18+,2013,Percent,3%
Colorado,Chronic kidney disease,18+,2013,Num of persons,"25,506"
Colorado,Chronic kidney disease,18+,2014,Percent,4%
Colorado,Chronic kidney disease,18+,2014,Num of persons,"29,894"
Colorado,Chronic kidney disease,18+,2015,Percent,4%
Colorado,Chronic kidney disease,18+,2015,Num of persons,"25,943"
Colorado,Chronic kidney disease,18+,2016,Percent,4%
Colorado,Chronic kidney disease,18+,2016,Num of persons,"32,120"
Colorado,COPD,18+,2013,Percent,7%
Colorado,COPD,18+,2013,Num of persons,"64,196"
Colorado,COPD,18+,2014,Percent,7%
Colorado,COPD,18+,2014,Num of persons,"61,970"
Colorado,COPD,18+,2015,Percent,10%
Colorado,COPD,18+,2015,Num of persons,"71,616"
Colorado,COPD,18+,2016,Percent,9%
Colorado,COPD,18+,2016,Num of persons,"68,917"
Colorado,Depression,18+,2013,Percent,26%
Colorado,Depression,18+,2013,Num of persons,"219,041"
Colorado,Depression,18+,2014,Percent,24%
Colorado,Depression,18+,2014,Num of persons,"199,632"
Colorado,Depression,18+,2015,Percent,28%
Colorado,Depression,18+,2015,Num of persons,"204,846"
Colorado,Depression,18+,2016,Percent,28%
